player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
jocques-crawford,1,Jocques,Crawford,RB,1.83,72.05,100,220.46,2021,Berlin Thunder
simon-mayerhoff,10,Simon,Mayerhoff,CB,1.77,69.69,88,194.01,2021,Berlin Thunder
bryan-zerbe,11,Bryan,Zerbe,WR,1.85,72.83,90,198.42,2021,Berlin Thunder
alexander-karim-rushdy-stadahl,12,Alexander Karim,Rushdy Stadahl,CB,1.83,72.05,80,176.37,2021,Berlin Thunder
daniel-weiswange,12,Daniel,Weiswange,WR,1.7,66.93,82,180.78,2021,Berlin Thunder
ashley-bailey,13,Ashley,Bailey,QB,1.85,72.83,85,187.39,2021,Berlin Thunder
yannis-binner,13,Yannis,Binner,TE,1.92,75.59,95,209.44,2021,Berlin Thunder
kevin-hummel,14,Kevin,Hummel,OLB,1.78,70.08,99,218.26,2021,Berlin Thunder
luis-muller-atzerodt,14,Luis,Müller Atzerodt,DB,1.81,71.26,77,169.76,2021,Berlin Thunder
moritz-thiele,15,Moritz,Thiele,CB,1.81,71.26,88,194.01,2021,Berlin Thunder
louis-rieger,16,Louis,Rieger,DB,1.77,69.69,83,182.98,2021,Berlin Thunder
andre-dickmeis,17,Andre,Dickmeis,WR,1.86,73.23,80,176.37,2021,Berlin Thunder
emil-drossard,17,Emil,Drossard,WR,1.75,68.9,78,171.96,2021,Berlin Thunder
leo-leeser,18,Leo,Leeser,DB,1.8,70.87,80,176.37,2021,Berlin Thunder
phillip-ruffin,19,Phillip,Ruffin,CB,1.87,73.62,86,189.6,2021,Berlin Thunder
benedikt-assis,2,Benedikt,Assis,ILB,1.87,73.62,101,222.67,2021,Berlin Thunder
najim-hennig,21,Najim,Hennig,CB,1.78,70.08,81,178.57,2021,Berlin Thunder
jason-eid,23,Jason,Eid,CB,1.8,70.87,80,176.37,2021,Berlin Thunder
kevin-meeder,23,Kevin,Meeder,DB,1.8,70.87,83,182.98,2021,Berlin Thunder
paul-fischer,23,Paul,Fischer,CB,1.78,70.08,78,171.96,2021,Berlin Thunder
maxime-de-falcis,24,Maxime,De Falcis,S,1.83,72.05,93,205.03,2021,Berlin Thunder
jonas-schenderlein,26,Jonas,Schenderlein,K,1.86,73.23,75,165.35,2021,Berlin Thunder
arne-gehrt,3,Arne,Gehrt,S,1.76,69.29,78,171.96,2021,Berlin Thunder
thaddeus-schirmer,30,Thaddeus,Schirmer,DB,1.84,72.44,85,187.39,2021,Berlin Thunder
iiro-pekkarinen,31,Iiro,Pekkarinen,CB,1.85,72.83,88,194.01,2021,Berlin Thunder
jamaal-white,31,Jamaal,White,S,1.87,73.62,90,198.42,2021,Berlin Thunder
dominique-pfeffer,32,Dominique,Pfeffer,DB,1.75,68.9,83,182.98,2021,Berlin Thunder
aaron-boadu,4,Aaron,Boadu,DE,1.95,76.77,125,275.58,2021,Berlin Thunder
jeremy-sommerwerk,40,Jeremy,Sommerwerk,ILB,1.75,68.9,105,231.49,2021,Berlin Thunder
louis-achaintre,40,Louis,Achaintre,ILB,1.88,74.02,100,220.46,2021,Berlin Thunder
janis-lou-scharmer,43,Janis Lou,Schmarmer,FB,1.7,66.93,86,189.6,2021,Berlin Thunder
marcel-steffen,44,Marcel,Steffen,DE,1.87,73.62,100,220.46,2021,Berlin Thunder
kolin-hill,45,Kolin,Hill,DE,1.93,75.98,117,257.94,2021,Berlin Thunder
yannic-landfried,47,Yannic,Landfried,RB,1.88,74.02,112,246.92,2021,Berlin Thunder
falco-paris,48,Falco,Paris,DE,1.89,74.41,112,246.92,2021,Berlin Thunder
hamsa-el-zein,50,Hamsa,El-Zein,DT,1.88,74.02,140,308.65,2021,Berlin Thunder
wael-nasri,52,Wael,Nasri,ILB,1.8,70.87,105,231.49,2021,Berlin Thunder
deon-mutsvanemoto,55,Deon,Mutsvanemoto,OL,1.9,74.8,140,308.65,2021,Berlin Thunder
matan-lockitch,57,Matan,Lockitch,OL,1.78,70.08,116,255.74,2021,Berlin Thunder
calvin-stitt,6,Calvin,Stitt,QB,1.8,70.87,,,2021,Berlin Thunder
pollys-junio-sacramento,68,Pollys Junio,Sacramento,OL,1.93,75.98,135,297.62,2021,Berlin Thunder
jannik-werblow,69,Jannik,Werblow,OL,1.97,77.56,130,286.6,2021,Berlin Thunder
seantarius-jones,7,Seantavius,Jones,WR,1.93,75.98,95,209.44,2021,Berlin Thunder
gideon-grabert,71,Gideon,Grabert,OL,1.91,75.2,138,304.24,2021,Berlin Thunder
marcel-camenz,73,Marcel,Camenz,OL,1.8,70.87,137,302.03,2021,Berlin Thunder
florian-gerlach,76,Florian,Gerlach,OL,2.0,78.74,130,286.6,2021,Berlin Thunder
max-bahr,77,Max,Bähr,OL,1.88,74.02,114,251.33,2021,Berlin Thunder
otavio-amorim,77,Otavio,Amorim,OL,1.91,75.2,130,286.6,2021,Berlin Thunder
lane-acheompong,78,Lane,Acheompong,OL,1.88,74.02,155,341.72,2021,Berlin Thunder
conrad-schmid,79,Conrad,Schmid,OL,2.0,78.74,125,275.58,2021,Berlin Thunder
paul-seifert,8,Paul,Seifert,OLB,1.82,71.65,84,185.19,2021,Berlin Thunder
tino-ndongo,80,Tino,Ndongo,WR,1.76,69.29,78,171.96,2021,Berlin Thunder
nicolai-schumann,85,Nicolai,Schumann,TE,1.93,75.98,113,249.12,2021,Berlin Thunder
pascal-schaar,9,Pascal,Schaar,RB,1.83,72.05,107,235.89,2021,Berlin Thunder
tuna-hiller,92,Tuna,Hiller,DT,1.86,73.23,120,264.55,2021,Berlin Thunder
gabriel-wiek,93,Gabriel,Wiek,DE,1.91,75.2,110,242.51,2021,Berlin Thunder
adedayo-odeleye,94,Adedayo,Odeleye,DL,1.97,77.56,120,264.55,2021,Berlin Thunder
nick-rudloff,95,Nick,Rudloff,DT,1.86,73.23,135,297.62,2021,Berlin Thunder
marcel-behm,96,Marcel,Behm,DT,1.82,71.65,128,282.19,2021,Berlin Thunder
kay-wagner,97,Kay,Wagner,DT,1.85,72.83,128,282.19,2021,Berlin Thunder
pascal-labus,99,Pascal,Labus,DL,1.87,73.62,115,253.53,2021,Berlin Thunder
