official_id,team_id,team_abv,team_name,team_city,team_state,team_country,team_nickname,conference,team_primary_color,team_secondary_color,team_third_color,team_home_color,team_home_num_outline,team_home_num_color,team_away_color,team_away_num_outline,team_away_num_color,team_rosters_url,team_full_logo_url,team_logo_url,team_wordmark_url
BD,BD,BRD,Barcelona Dragons,Terrassa,Catalonia,ESP,Dragons,Central,#00452E,#FADA0E,#A5262A,#00452E,#A5262A,#FFFFFF,#FFFFFF,#FADA0E,#FFFFFF,,,,
BT,BT,BTH,Berlin Thunder,Berlin,Berlin,DEU,Thunder,Eastern,#000000,#DEB46F,#BE2C32,#000000,#000000,#BE2C32,#FFFFFF,#FFFFFF,#BE2C32,,,,
CC,CC,CCE,Cologne Centurions,Cologne,North Rhine-Westphalia,DEU,Centurions,Western,#D42027,#000000,#FFFFFF,#D42027,#000000,#FFFFFF,#FFFFFF,#000000,#D42027,,,,
FE,FE,ENT,Fehervar Enthroners,Szekesfehervar,Fejer,HUN,Enthroners,Eastern,#1C2045,#F8D517,#FFFFFF,#1C2045,#1C2045,#F8D517,#FFFFFF,#FFFFFF,#1C2045,,,,
FG,FG,FGY,Frankfurt Galaxy,Frankfurt,Hesse,DEU,Galaxy,Western,#3E1152,#8C7550,#FFFFFF,#3E1152,#8C7550,#FFFFFF,#FFFFFF,#8C7550,#3E1152,,,,
HD,HD,HSD,Hamburg Sea Devils,Hamburg,Hamburg,DEU,Sea Devils,Western,#0B1F41,#EB1E24,#6192CC,#0B1F41,#FFFFFF,#EB1E24,#FFFFFF,#EB1E24,#0B1F41,,,,
HG,HG,HVG,Helvetic Guards,Zurich,Zurich,CHE,Guards,Central,#000000,#E1011B,#FFFFFF,#E82436,#000000,#C7C7C7,#FFFFFF,#FFFFFF,#E1011B,,,,
IR,IR,ISR,Istanbul Rams,Istanbul,-,TUR,Rams,Defunct,#AB1E3F,#C7C7C7,#FFFFFF,#AB1E3F,#AB1E3F,#FFFFFF,#FFFFFF,#FFFFFF,#AB1E3F,,,,
LK,LK,LKG,Leipzig Kings,Leipzig,Saxony,DEU,Kings,Eastern,#FBB040,#00452B,#FFFFFF,#FBB040,#FBB040,#00452B,#FFFFFF,#FFFFFF,#00452B,,,,
MS,MS,MIL,Milano Seamen,Milan,Lombardy,ITA,Seamen,Central,#02132D,#BBBCBE,#FFFFFF,#02132D,#02132D,#FFFFFF,#FFFFFF,#FFFFFF,#02132D,,,,
MR,MR,MUC,Munich Ravens,Munich,Bavaria,DEU,Ravens,Central,#000000,#34ADB8,#FFFFFF,#000000,#26ACF2,#34BFA2,,,,,,,
PM,PM,PAR,Paris Musketeers,Paris,Ile-de-France,FRA,Musketeers,Western,#051C2C,#ADB3B6,#FFFFFF,#051C2C,#FFFFFF,#051C2C,#FFFFFF,#FFFFFF,#051C2C,,,,
PL,PL,PRG,Prague Lions,Prague,Central Bohemian,POL,Lions,Eastern,#012245,#FF3301,#FFFFFF,#FF3301,#000000,#000000,#FFFFFF,#012245,#FF3301,,,,
RT,RT,RAI,Raiders Tirol,Innsbruck,Tyrol,AUT,Tirol,Central,#000000,#C4C8CB,#FFFFFF,#000000,#FFFFFF,#C4C8CB,#FFFFFF,#C4C8CB,#000000,,,,
RF,RF,RHF,Rhein Fire,Dusseldorf,North Rhine-Westphalia,DEU,Fire,Western,#521113,#CABBA0,#000000,#521113,#000000,#CABBA0,#FFFFFF,#CABBA0,#521113,,,,
SS,SS,SRG,Stuttgart Surge,Stuttgart,Baden-Wurttemberg,DEU,Surge,Central,#0D2340,#CBE001,#DBE7F7,#0D2340,#CBE001,#FFFFFF,#DBE7F7,#FFFFFF,#0D2340,,,,
VV,VV,VIK,Vienna Vikings,Vienna,Vienna,AUT,Vikings,Eastern,#4E2F91,#FFD400,#FFFFFF,#4E2F91,#4E2F91,#FFD400,#FFFFFF,#FFFFFF,#4E2F91,,,,
PW,PW,WPA,Panthers Wroclaw,Wroclaw,Lower Silesian Voivodeship,POL,Panthers,Eastern,#0093D0,#000000,#FFFFFF,#0093D0,#000000,#FFFFFF,#FFFFFF,#000000,#0093D0,,,,
